GWNAME	NODENAME	KEY	VALUE	
C	C	C	C	
gw_ap01	iristech2	CA_FILE	<NODATA>	
gw_ap01	iristech2	CERT_FILE	<NODATA>	
gw_ap01	iristech2	CERT_PWD	<NODATA>	
gw_ap01	iristech2	DH_PATH	<NODATA>	
gw_ap01	iristech2	KEY_CHANGE_FLAG	0	
gw_ap01	iristech2	PRIK_FILE	<NODATA>	
gw_ap01	iristech2	VERIFY_LEVEL	0	
gw_ap01	iristech2	USER_CLASS	<NODATA>	
gw_ap02	iristech2	CA_FILE	<NODATA>	
gw_ap02	iristech2	CERT_FILE	<NODATA>	
gw_ap02	iristech2	CERT_PWD	<NODATA>	
gw_ap02	iristech2	DH_PATH	<NODATA>	
gw_ap02	iristech2	KEY_CHANGE_FLAG	0	
gw_ap02	iristech2	PRIK_FILE	<NODATA>	
gw_ap02	iristech2	VERIFY_LEVEL	0	
gw_ap02	iristech2	USER_CLASS	<NODATA>	
gw_ap03	iristech2	CA_FILE	<NODATA>	
gw_ap03	iristech2	CERT_FILE	<NODATA>	
gw_ap03	iristech2	CERT_PWD	<NODATA>	
gw_ap03	iristech2	DH_PATH	<NODATA>	
gw_ap03	iristech2	KEY_CHANGE_FLAG	0	
gw_ap03	iristech2	PRIK_FILE	<NODATA>	
gw_ap03	iristech2	VERIFY_LEVEL	0	
gw_ap03	iristech2	USER_CLASS	<NODATA>	
gw_ap04	iristech2	CA_FILE	<NODATA>	
gw_ap04	iristech2	CERT_FILE	<NODATA>	
gw_ap04	iristech2	CERT_PWD	<NODATA>	
gw_ap04	iristech2	DH_PATH	<NODATA>	
gw_ap04	iristech2	KEY_CHANGE_FLAG	0	
gw_ap04	iristech2	PRIK_FILE	<NODATA>	
gw_ap04	iristech2	VERIFY_LEVEL	0	
gw_ap04	iristech2	USER_CLASS	<NODATA>	
gw_ap05	iristech2	CA_FILE	<NODATA>	
gw_ap05	iristech2	CERT_FILE	<NODATA>	
gw_ap05	iristech2	CERT_PWD	<NODATA>	
gw_ap05	iristech2	DH_PATH	<NODATA>	
gw_ap05	iristech2	KEY_CHANGE_FLAG	0	
gw_ap05	iristech2	PRIK_FILE	<NODATA>	
gw_ap05	iristech2	VERIFY_LEVEL	0	
gw_ap05	iristech2	USER_CLASS	<NODATA>	
gw_ap06	iristech2	CA_FILE	<NODATA>	
gw_ap06	iristech2	CERT_FILE	<NODATA>	
gw_ap06	iristech2	CERT_PWD	<NODATA>	
gw_ap06	iristech2	DH_PATH	<NODATA>	
gw_ap06	iristech2	KEY_CHANGE_FLAG	0	
gw_ap06	iristech2	PRIK_FILE	<NODATA>	
gw_ap06	iristech2	VERIFY_LEVEL	0	
gw_ap06	iristech2	USER_CLASS	<NODATA>	
