KIND_CODE	APPL_CODE	REP_KIND_CODE	KIND_TYPE	TAB_TYPE	
C	C	C	N	N	
0200	AP03	0200	1	1	
0210	AP03	0200	2	1	
0200	AP05	0200	1	1	
0210	AP05	0200	2	1	
0210	C005	0200	2	1	
0200	C003	0200	1	1	
0200	C020	0200	1	1	
0210	C020	0200	2	1	
0200	AP08	0200	1	1	
0210	AP08	0200	2	1	
0200	D020	0200	1	1	
0210	D020	0200	2	1	
0200	C005	0200	1	1	
0210	C003	0200	2	1	
0200	AP10	0200	1	1	
0210	AP10	0200	2	1	
0200	AP09	0200	1	1	
0210	AP09	0200	2	1	
0200	AP07	0200	1	1	
0210	AP07	0200	2	1	
0200	AP23	0200	1	1	
0200	AP21	0200	1	1	
0200	AP22	0200	1	1	
0200	AP14	0200	1	1	
0210	AP14	0200	2	1	
0200	AP11	0200	1	1	
0210	AP11	0200	2	1	
0200	AP02	0200	1	1	
0210	AP02	0200	2	1	
0200	AP04	0200	1	1	
0210	AP04	0200	2	1	
0210	AP12	0200	2	1	
0200	AP12	0200	1	1	
0210	AP16	0200	2	1	
0200	AP06	0200	1	1	
0210	AP06	0200	2	1	
0200	AP16	0200	1	1	
0200	AP13	0200	1	1	
0210	AP13	0200	2	1	
0200	AP15	0200	1	1	
0210	AP15	0200	2	1	
0200	AP01	0200	1	1	
0210	AP01	0200	2	1	
