SYMBNAME	GWNAME	STA_TYPE	LINE_NAME	LU_NAME	SESSION_NUM	CONNECT_TYPE	DIRECTION	RETRY_INTERVAL	REUSE_FLAG	OUT_SYMBNAME	NODENAME	PHYSICAL_INFO	SESSION_TIMEOUT	LINE_TYPE	ADMIT_FLAG	
C	C	N	C	C	N	N	N	N	N	C	C	C	N	N	N	
gw_ap10_line01	gw_ap10	1	121.126.79.29	50010	1	2	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
gw_ap01_line01	gw_ap01	1	121.126.79.29	50001	1	2	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
gw_ap02_line01	gw_ap02	1	121.126.79.29	50002	1	2	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
gw_ap03_line01	gw_ap03	1	121.126.79.29	50003	1	2	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
gw_ap04_line01	gw_ap04	1	121.126.79.29	50004	1	2	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
gw_ap05_line01	gw_ap05	1	121.126.79.29	50005	1	7	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
gw_ap06_line01	gw_ap06	1	121.126.79.29	50006	1	2	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
gw_ap07_line01	gw_ap07	1	121.126.79.29	50007	1	2	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
gw_ap89_line01	gw_ap89	1	121.126.79.29	50089	1	2	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
gw_ap11_line01	gw_ap11	1	121.126.79.29	50011	1	2	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
gw_ap12_line01	gw_ap12	1	121.126.79.29	50012	1	2	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
gw_ap21_line01	gw_ap21	1	121.126.79.29	50021	1	2	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
gw_ap21_line22	gw_ap22	1	121.126.79.29	50022	1	2	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
gw_ap21_line23	gw_ap23	1	121.126.79.29	50023	1	2	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
online	megabox	9	anytosimul	10001	1	7	3	10	1	<NODATA>	iristech2	<NODATA>	60	0	0	
anytosimul_0	megabox	9	121.126.79.29	10001	1	7	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
anytosimul_1	tongtong004	9	121.126.79.29	10003	1	2	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
simultoany_0	megabox	9	121.126.79.29	10002	1	7	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
simultoany_1	tongtong004	9	<NODATA>	10004	1	1	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
anytosimul_2	tonggong004	9	121.126.79.29	10005	1	2	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
simultoany_2	tonggong004	9	<NODATA>	10006	1	1	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
anytosimul_3	tonggong004a	9	121.126.79.29	10007	1	2	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
simultoany_3	tonggong004a	9	<NODATA>	10008	1	1	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
anytosimul_4	tonggong004b	9	121.126.79.29	10009	1	2	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
simultoany_4	tonggong004b	9	<NODATA>	10010	1	1	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
anytosimul_5	tonggong004c	9	121.126.79.29	10011	1	2	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
simultoany_5	tonggong004c	9	<NODATA>	10012	1	1	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
anytosimul_6	tonggong004f	9	121.126.79.29	10013	1	2	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
simultoany_6	tonggong004f	9	<NODATA>	10014	1	1	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
anytosimul_7	tonggong004m	9	121.126.79.29	10015	1	2	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
simultoany_7	tonggong004m	9	<NODATA>	10016	1	1	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
anytosimul_8	tonggong160	9	121.126.79.29	10017	1	2	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
simultoany_8	tonggong160	9	<NODATA>	10018	1	1	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
anytosimul_9	engmsg004	9	121.126.79.29	10017	1	2	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
simultoany_9	engmsg004	9	<NODATA>	10020	1	1	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
gw_ap01_line13	gw_ap13	1	121.126.79.29	50013	1	2	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
gw_ap01_line14	gw_ap14	1	121.126.79.29	50014	1	2	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
gw_ap01_line15	gw_ap15	1	121.126.79.29	50015	1	2	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
gw_ap01_line16	gw_ap16	1	121.126.79.29	50016	1	2	3	10	1	<NODATA>	iristech2	<NODATA>	600	0	0	
