SYMBNAME	GWNAME	NODENAME	KEY	VALUE	
C	C	C	C	C	
gw_ap10_line01	gw_ap10	iristech2	DEV_NAME	<NODATA>	
gw_ap10_line01	gw_ap10	iristech2	IMS_CMD_CLIENTID	<NODATA>	
gw_ap10_line01	gw_ap10	iristech2	IMS_DATA_CLIENTID	<NODATA>	
gw_ap10_line01	gw_ap10	iristech2	IMS_DATASTORE	<NODATA>	
gw_ap10_line01	gw_ap10	iristech2	IMS_LTERM	<NODATA>	
gw_ap10_line01	gw_ap10	iristech2	IMS_TMEMBER	<NODATA>	
gw_ap10_line01	gw_ap10	iristech2	LINE_NO	0	
gw_ap10_line01	gw_ap10	iristech2	LU_NO	0	
gw_ap10_line01	gw_ap10	iristech2	NIDU_SIZE	0	
gw_ap10_line01	gw_ap10	iristech2	NSDU_SIZE	0	
gw_ap01_line01	gw_ap01	iristech2	DEV_NAME	<NODATA>	
gw_ap01_line01	gw_ap01	iristech2	IMS_CMD_CLIENTID	<NODATA>	
gw_ap01_line01	gw_ap01	iristech2	IMS_DATA_CLIENTID	<NODATA>	
gw_ap01_line01	gw_ap01	iristech2	IMS_DATASTORE	<NODATA>	
gw_ap01_line01	gw_ap01	iristech2	IMS_LTERM	<NODATA>	
gw_ap01_line01	gw_ap01	iristech2	IMS_TMEMBER	<NODATA>	
gw_ap01_line01	gw_ap01	iristech2	LINE_NO	0	
gw_ap01_line01	gw_ap01	iristech2	LU_NO	0	
gw_ap01_line01	gw_ap01	iristech2	NIDU_SIZE	0	
gw_ap01_line01	gw_ap01	iristech2	NSDU_SIZE	0	
gw_ap02_line01	gw_ap02	iristech2	DEV_NAME	<NODATA>	
gw_ap02_line01	gw_ap02	iristech2	IMS_CMD_CLIENTID	<NODATA>	
gw_ap02_line01	gw_ap02	iristech2	IMS_DATA_CLIENTID	<NODATA>	
gw_ap02_line01	gw_ap02	iristech2	IMS_DATASTORE	<NODATA>	
gw_ap02_line01	gw_ap02	iristech2	IMS_LTERM	<NODATA>	
gw_ap02_line01	gw_ap02	iristech2	IMS_TMEMBER	<NODATA>	
gw_ap02_line01	gw_ap02	iristech2	LINE_NO	0	
gw_ap02_line01	gw_ap02	iristech2	LU_NO	0	
gw_ap02_line01	gw_ap02	iristech2	NIDU_SIZE	0	
gw_ap02_line01	gw_ap02	iristech2	NSDU_SIZE	0	
gw_ap03_line01	gw_ap03	iristech2	DEV_NAME	<NODATA>	
gw_ap03_line01	gw_ap03	iristech2	IMS_CMD_CLIENTID	<NODATA>	
gw_ap03_line01	gw_ap03	iristech2	IMS_DATA_CLIENTID	<NODATA>	
gw_ap03_line01	gw_ap03	iristech2	IMS_DATASTORE	<NODATA>	
gw_ap03_line01	gw_ap03	iristech2	IMS_LTERM	<NODATA>	
gw_ap03_line01	gw_ap03	iristech2	IMS_TMEMBER	<NODATA>	
gw_ap03_line01	gw_ap03	iristech2	LINE_NO	0	
gw_ap03_line01	gw_ap03	iristech2	LU_NO	0	
gw_ap03_line01	gw_ap03	iristech2	NIDU_SIZE	0	
gw_ap03_line01	gw_ap03	iristech2	NSDU_SIZE	0	
gw_ap04_line01	gw_ap04	iristech2	DEV_NAME	<NODATA>	
gw_ap04_line01	gw_ap04	iristech2	IMS_CMD_CLIENTID	<NODATA>	
gw_ap04_line01	gw_ap04	iristech2	IMS_DATA_CLIENTID	<NODATA>	
gw_ap04_line01	gw_ap04	iristech2	IMS_DATASTORE	<NODATA>	
gw_ap04_line01	gw_ap04	iristech2	IMS_LTERM	<NODATA>	
gw_ap04_line01	gw_ap04	iristech2	IMS_TMEMBER	<NODATA>	
gw_ap04_line01	gw_ap04	iristech2	LINE_NO	0	
gw_ap04_line01	gw_ap04	iristech2	LU_NO	0	
gw_ap04_line01	gw_ap04	iristech2	NIDU_SIZE	0	
gw_ap04_line01	gw_ap04	iristech2	NSDU_SIZE	0	
gw_ap05_line01	gw_ap05	iristech2	DEV_NAME	<NODATA>	
gw_ap05_line01	gw_ap05	iristech2	IMS_CMD_CLIENTID	<NODATA>	
gw_ap05_line01	gw_ap05	iristech2	IMS_DATA_CLIENTID	<NODATA>	
gw_ap05_line01	gw_ap05	iristech2	IMS_DATASTORE	<NODATA>	
gw_ap05_line01	gw_ap05	iristech2	IMS_LTERM	<NODATA>	
gw_ap05_line01	gw_ap05	iristech2	IMS_TMEMBER	<NODATA>	
gw_ap05_line01	gw_ap05	iristech2	LINE_NO	0	
gw_ap05_line01	gw_ap05	iristech2	LU_NO	0	
gw_ap05_line01	gw_ap05	iristech2	NIDU_SIZE	0	
gw_ap05_line01	gw_ap05	iristech2	NSDU_SIZE	0	
gw_ap06_line01	gw_ap06	iristech2	DEV_NAME	<NODATA>	
gw_ap06_line01	gw_ap06	iristech2	IMS_CMD_CLIENTID	<NODATA>	
gw_ap06_line01	gw_ap06	iristech2	IMS_DATA_CLIENTID	<NODATA>	
gw_ap06_line01	gw_ap06	iristech2	IMS_DATASTORE	<NODATA>	
gw_ap06_line01	gw_ap06	iristech2	IMS_LTERM	<NODATA>	
gw_ap06_line01	gw_ap06	iristech2	IMS_TMEMBER	<NODATA>	
gw_ap06_line01	gw_ap06	iristech2	LINE_NO	0	
gw_ap06_line01	gw_ap06	iristech2	LU_NO	0	
gw_ap06_line01	gw_ap06	iristech2	NIDU_SIZE	0	
gw_ap06_line01	gw_ap06	iristech2	NSDU_SIZE	0	
gw_ap07_line01	gw_ap07	iristech2	DEV_NAME	<NODATA>	
gw_ap07_line01	gw_ap07	iristech2	IMS_CMD_CLIENTID	<NODATA>	
gw_ap07_line01	gw_ap07	iristech2	IMS_DATA_CLIENTID	<NODATA>	
gw_ap07_line01	gw_ap07	iristech2	IMS_DATASTORE	<NODATA>	
gw_ap07_line01	gw_ap07	iristech2	IMS_LTERM	<NODATA>	
gw_ap07_line01	gw_ap07	iristech2	IMS_TMEMBER	<NODATA>	
gw_ap07_line01	gw_ap07	iristech2	LINE_NO	0	
gw_ap07_line01	gw_ap07	iristech2	LU_NO	0	
gw_ap07_line01	gw_ap07	iristech2	NIDU_SIZE	0	
gw_ap07_line01	gw_ap07	iristech2	NSDU_SIZE	0	
gw_ap89_line01	gw_ap89	iristech2	DEV_NAME	<NODATA>	
gw_ap89_line01	gw_ap89	iristech2	IMS_CMD_CLIENTID	<NODATA>	
gw_ap89_line01	gw_ap89	iristech2	IMS_DATA_CLIENTID	<NODATA>	
gw_ap89_line01	gw_ap89	iristech2	IMS_DATASTORE	<NODATA>	
gw_ap89_line01	gw_ap89	iristech2	IMS_LTERM	<NODATA>	
gw_ap89_line01	gw_ap89	iristech2	IMS_TMEMBER	<NODATA>	
gw_ap89_line01	gw_ap89	iristech2	LINE_NO	0	
gw_ap89_line01	gw_ap89	iristech2	LU_NO	0	
gw_ap89_line01	gw_ap89	iristech2	NIDU_SIZE	0	
gw_ap89_line01	gw_ap89	iristech2	NSDU_SIZE	0	
gw_ap11_line01	gw_ap11	iristech2	DEV_NAME	<NODATA>	
gw_ap11_line01	gw_ap11	iristech2	IMS_CMD_CLIENTID	<NODATA>	
gw_ap11_line01	gw_ap11	iristech2	IMS_DATA_CLIENTID	<NODATA>	
gw_ap11_line01	gw_ap11	iristech2	IMS_DATASTORE	<NODATA>	
gw_ap11_line01	gw_ap11	iristech2	IMS_LTERM	<NODATA>	
gw_ap11_line01	gw_ap11	iristech2	IMS_TMEMBER	<NODATA>	
gw_ap11_line01	gw_ap11	iristech2	LINE_NO	0	
gw_ap11_line01	gw_ap11	iristech2	LU_NO	0	
gw_ap11_line01	gw_ap11	iristech2	NIDU_SIZE	0	
gw_ap11_line01	gw_ap11	iristech2	NSDU_SIZE	0	
gw_ap12_line01	gw_ap12	iristech2	DEV_NAME	<NODATA>	
gw_ap12_line01	gw_ap12	iristech2	IMS_CMD_CLIENTID	<NODATA>	
gw_ap12_line01	gw_ap12	iristech2	IMS_DATA_CLIENTID	<NODATA>	
gw_ap12_line01	gw_ap12	iristech2	IMS_DATASTORE	<NODATA>	
gw_ap12_line01	gw_ap12	iristech2	IMS_LTERM	<NODATA>	
gw_ap12_line01	gw_ap12	iristech2	IMS_TMEMBER	<NODATA>	
gw_ap12_line01	gw_ap12	iristech2	LINE_NO	0	
gw_ap12_line01	gw_ap12	iristech2	LU_NO	0	
gw_ap12_line01	gw_ap12	iristech2	NIDU_SIZE	0	
gw_ap12_line01	gw_ap12	iristech2	NSDU_SIZE	0	
gw_ap21_line01	gw_ap21	iristech2	DEV_NAME	<NODATA>	
gw_ap21_line01	gw_ap21	iristech2	IMS_CMD_CLIENTID	<NODATA>	
gw_ap21_line01	gw_ap21	iristech2	IMS_DATA_CLIENTID	<NODATA>	
gw_ap21_line01	gw_ap21	iristech2	IMS_DATASTORE	<NODATA>	
gw_ap21_line01	gw_ap21	iristech2	IMS_LTERM	<NODATA>	
gw_ap21_line01	gw_ap21	iristech2	IMS_TMEMBER	<NODATA>	
gw_ap21_line01	gw_ap21	iristech2	LINE_NO	0	
gw_ap21_line01	gw_ap21	iristech2	LU_NO	0	
