STA_TYPE	TX_CODE	KEY_VAL1	NAME	KEY_VAL2	MSG_TYPE	KEY_VAL3	CALL_TYPE	TIMEOUT	RES_FLAG	CONV_TYPE	REQ_UID_OFFSET	PACKAGE_NAME	UID_LEN	RES_UID_OFFSET	REQ_HEAD_MAPP_CLASS	EBSOAP_REQ_ACTION	EBSOAP_RES_ACTION	UID_NAME	REQ_USER_CLASS	RES_HEAD_MAPP_CLASS	RES_USER_CLASS	ERR_MAPP_CLASS	ERR_USER_CLASS	RES_BODY_MAPP_CLASS	FRMT_MAPP_CLASS	FRMT_USER_CLASS	SYS_MAPP_CLASS	SYS_USER_CLASS	FILE_LOG_FLAG	DB_LOG_FLAG	REP_KIND_CODE	REQ_BODY_MAPP_CLASS	ERR_CODE_OFFSET	ERR_CODE_TYPE	ERR_CODE_NAME	TX_UID_OFFSET	TX_UID_LEN	TX_UID_NAME	ERR_MSG_OFFSET	APPL_CODE	ERR_MSG_NAME	REQ_CACHE_FLAG	DLY_SVCNAME	TX_TIME_LIMIT	REQ_HEADER_SIZE	RES_HEADER_SIZE	REQ_PACKET_SIZE	RES_PACKET_SIZE	REQ_ENCODING	RES_ENCODING	FRQ_HEAD_MAPP_CLASS	FRQ_BODY_MAPP_CLASS	FRQ_USER_CLASS	FRS_HEAD_MAPP_CLASS	FRS_BODY_MAPP_CLASS	FRS_USER_CLASS	POST_SVCNAME	MAPPER_UID_OFFSET	MAPPER_UID_LEN	MAPPER_UID_NAME	
N	C	C	C	C	N	C	N	N	N	N	N	C	N	N	C	C	C	C	C	C	C	C	C	C	C	C	C	C	N	N	C	C	N	N	C	N	N	C	N	C	C	N	C	N	N	N	N	N	C	C	C	C	C	C	C	C	C	N	N	C	
1	600001	<NODATA>	AnyToSimul일반	<NODATA>	8	<NODATA>	1	10	2	1	-1	600001	0	-1	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	ap11_0200_600001_res_map	<NODATA>	<NODATA>	<NODATA>	<NODATA>	0	0	0200	ap11_0200_600001_req_map	-1	1	<NODATA>	-1	0	<NODATA>	-1	AP11	<NODATA>	0	<NODATA>	0	0	0	0	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	-1	0	<NODATA>	
1	500001	<NODATA>	SimulToAny일반	<NODATA>	8	<NODATA>	1	10	2	1	-1	500001	0	-1	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	ap11_0200_500001_res_map	<NODATA>	<NODATA>	<NODATA>	<NODATA>	0	0	0200	ap11_0200_500001_req_map	-1	1	<NODATA>	-1	0	<NODATA>	-1	AP11	<NODATA>	0	<NODATA>	0	0	0	0	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	-1	0	<NODATA>	
1	600001	<NODATA>	AnyToSimul일반	<NODATA>	8	<NODATA>	1	10	2	1	-1	600001	0	-1	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	ap12_0200_600001_res_map	<NODATA>	<NODATA>	<NODATA>	<NODATA>	0	0	0200	ap12_0200_600001_req_map	-1	1	<NODATA>	-1	0	<NODATA>	-1	AP12	<NODATA>	0	<NODATA>	0	0	0	0	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	-1	0	<NODATA>	
1	500001	<NODATA>	SimulToAny일반	<NODATA>	8	<NODATA>	1	10	2	1	-1	500001	0	-1	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	ap12_0200_500001_res_map	<NODATA>	<NODATA>	<NODATA>	<NODATA>	0	0	0200	ap12_0200_500001_req_map	-1	1	<NODATA>	-1	0	<NODATA>	-1	AP12	<NODATA>	0	<NODATA>	0	0	0	0	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	-1	0	<NODATA>	
1	055100	<NODATA>	계좌정보조회	<NODATA>	8	<NODATA>	1	0	1	1	-1	<NODATA>	0	-1	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	C020_k0200_t055100_bres	<NODATA>	<NODATA>	<NODATA>	<NODATA>	0	0	0200	C020_k0200_t055100_breq	-1	1	<NODATA>	-1	0	<NODATA>	-1	C020	<NODATA>	2	<NODATA>	0	0	0	0	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	-1	0	<NODATA>	
1	055100	<NODATA>	계좌정보조회	<NODATA>	8	<NODATA>	1	0	1	1	-1	<NODATA>	0	-1	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	D020_k0200_t055100_bres	<NODATA>	<NODATA>	<NODATA>	<NODATA>	0	0	0200	D020_k0200_t055100_breq	-1	1	<NODATA>	-1	0	<NODATA>	-1	D020	<NODATA>	2	<NODATA>	0	0	0	0	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	-1	0	<NODATA>	
1	CO0041	<NODATA>	계좌정보조회	<NODATA>	8	<NODATA>	1	0	1	1	-1	<NODATA>	0	-1	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	C005_0200_05510_bres	<NODATA>	<NODATA>	<NODATA>	<NODATA>	0	0	0200	C005_0200_05510_breq	-1	1	<NODATA>	-1	0	<NODATA>	-1	C005	<NODATA>	2	<NODATA>	0	0	0	0	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	-1	0	<NODATA>	
1	CO0041	<NODATA>	계좌정보조회	<NODATA>	8	<NODATA>	1	0	1	1	-1	<NODATA>	0	-1	<NODATA>	CO0041_Request	CO0041_Response	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	C003_k0200_t055100_bres	<NODATA>	<NODATA>	<NODATA>	<NODATA>	0	0	0200	C003_k0200_t055100_breq	-1	1	<NODATA>	-1	0	<NODATA>	-1	C003	<NODATA>	1	<NODATA>	0	0	0	0	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	-1	0	<NODATA>	
1	600002	0200600002	AnyToSimul배열1차	<NODATA>	8	<NODATA>	1	10	1	1	-1	600002	0	-1	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	ap21_0200_600002_res_map	<NODATA>	<NODATA>	<NODATA>	<NODATA>	0	0	0200	ap21_0200_600002_req_map	-1	1	<NODATA>	-1	0	<NODATA>	-1	AP21	<NODATA>	0	<NODATA>	0	0	0	0	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	-1	0	<NODATA>	
