SEQNO	SRC_FLD_INFO	MAPPING_INFO	CODE_NAME	CLASS_NAME	
N	C	C	C	C	
0	REG_NUMBER	REG_NUMBER	<NODATA>	ap09_0200_500001_res_map	
1	REG_GUBUN	REG_GUBUN	<NODATA>	ap09_0200_500001_res_map	
2	OWN_NAME	OWN_NAME	<NODATA>	ap09_0200_500001_res_map	
3	TAX_MAX	TAX_MAX	<NODATA>	ap09_0200_500001_res_map	
0	kind_code	kind_code	<NODATA>	comm_ap07_req_map	
1	tx_code	tx_code	<NODATA>	comm_ap07_req_map	
2	sr_flag	sr_flag	<NODATA>	comm_ap07_req_map	
1	tx_code	tx_code	<NODATA>	comm_ap07_res_map	
2	sr_flag	"R"	<NODATA>	comm_ap07_res_map	
3	senddata	senddata	<NODATA>	comm_ap07_res_map	
4	sendtime	sendtime	<NODATA>	comm_ap07_res_map	
0	kind_code	kind_code	<NODATA>	comm_ap09_req_map	
1	tx_code	tx_code	<NODATA>	comm_ap09_req_map	
2	sr_flag	sr_flag	<NODATA>	comm_ap09_req_map	
3	len	len	<NODATA>	comm_ap09_req_map	
0	kind_code	"0210"	<NODATA>	comm_ap09_res_map	
1	tx_code	tx_code	<NODATA>	comm_ap09_res_map	
2	sr_flag	"B"	<NODATA>	comm_ap09_res_map	
3	len	len	<NODATA>	comm_ap09_res_map	
0	kind_code	kind_code	<NODATA>	comm_ap08_req_map	
1	tx_code	tx_code	<NODATA>	comm_ap08_req_map	
2	sr_flag	sr_flag	<NODATA>	comm_ap08_req_map	
3	len	len	<NODATA>	comm_ap08_req_map	
4	senddata	senddata	<NODATA>	comm_ap08_req_map	
5	sendtime	sendtime	<NODATA>	comm_ap08_req_map	
6	remark	remark	<NODATA>	comm_ap08_req_map	
0	kind_code	"0210"	<NODATA>	comm_ap08_res_map	
1	tx_code	tx_code	<NODATA>	comm_ap08_res_map	
2	sr_flag	"R"	<NODATA>	comm_ap08_res_map	
3	len	len	<NODATA>	comm_ap08_res_map	
4	senddata	senddata	<NODATA>	comm_ap08_res_map	
5	sendtime	sendtime	<NODATA>	comm_ap08_res_map	
6	remark	remark	<NODATA>	comm_ap08_res_map	
0	REG_NUMBER	REG_NUMBER	<NODATA>	ap08_0200_600001_req_map	
1	REG_GUBUN	REG_GUBUN	<NODATA>	ap08_0200_600001_req_map	
2	OWN_NAME	OWN_NAME	<NODATA>	ap08_0200_600001_req_map	
3	TAX_MAX	TAX_MAX	<NODATA>	ap08_0200_600001_req_map	
0	REG_NUMBER	REG_NUMBER	<NODATA>	ap08_0200_600001_res_map	
1	REG_GUBUN	REG_GUBUN	<NODATA>	ap08_0200_600001_res_map	
2	OWN_NAME	OWN_NAME	<NODATA>	ap08_0200_600001_res_map	
3	TAX_MAX	TAX_MAX	<NODATA>	ap08_0200_600001_res_map	
0	REG_NUMBER	REG_NUMBER	<NODATA>	ap08_0200_500001_req_map	
1	REG_GUBUN	REG_GUBUN	<NODATA>	ap08_0200_500001_req_map	
2	OWN_NAME	OWN_NAME	<NODATA>	ap08_0200_500001_req_map	
3	TAX_MAX	TAX_MAX	<NODATA>	ap08_0200_500001_req_map	
0	REG_NUMBER	REG_NUMBER	<NODATA>	ap08_0200_500001_res_map	
1	REG_GUBUN	REG_GUBUN	<NODATA>	ap08_0200_500001_res_map	
2	OWN_NAME	OWN_NAME	<NODATA>	ap08_0200_500001_res_map	
3	TAX_MAX	TAX_MAX	<NODATA>	ap08_0200_500001_res_map	
0	REG_NUMBER	REG_NUMBER	<NODATA>	ap15_0200_500001_req_map	
1	REG_GUBUN	REG_GUBUN	<NODATA>	ap15_0200_500001_req_map	
2	OWN_NAME	OWN_NAME	<NODATA>	ap15_0200_500001_req_map	
3	TAX_MAX	TAX_MAX	<NODATA>	ap15_0200_500001_req_map	
0	REG_NUMBER	REG_NUMBER	<NODATA>	ap15_0200_500001_res_map	
1	REG_GUBUN	REG_GUBUN	<NODATA>	ap15_0200_500001_res_map	
2	OWN_NAME	OWN_NAME	<NODATA>	ap15_0200_500001_res_map	
3	TAX_MAX	TAX_MAX	<NODATA>	ap15_0200_500001_res_map	
0	REG_NUMBER	REG_NUMBER	<NODATA>	ap15_0200_600001_req_map	
1	REG_GUBUN	REG_GUBUN	<NODATA>	ap15_0200_600001_req_map	
2	OWN_NAME	OWN_NAME	<NODATA>	ap15_0200_600001_req_map	
