TX_CODE	STA_TYPE	REP_KIND_CODE	SVC_TYPE	SVCNAME	CLASS_NAME	HOST_PGM_NAME	HOST_TX_ID	HOST_USER_NAME	HOST_USER_PASSWD	WEBT_POOL_NAME	SERVER_INFO	PARAM	APPL_CODE	URL	
C	N	C	N	C	C	C	C	C	C	C	C	C	C	C	
600001	1	0200	2	GW_AP11	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP11	<NODATA>	
500001	1	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP11	<NODATA>	
600001	1	0200	2	GW_AP12	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP12	<NODATA>	
500001	1	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP12	<NODATA>	
055100	1	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	C020	<NODATA>	
055100	1	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	D020	<NODATA>	
CO0041	1	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	C005	<NODATA>	
CO0041	1	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	C003	<NODATA>	
600002	1	0200	3	GW_AP21	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP21	<NODATA>	
600001	1	0200	3	GW_AP21	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP21	<NODATA>	
500002	1	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP21	<NODATA>	
500001	1	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP21	<NODATA>	
600002	1	0200	3	GW_AP22	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP22	<NODATA>	
600001	1	0200	2	GW_AP22	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP22	<NODATA>	
500002	1	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP22	<NODATA>	
500001	1	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP22	<NODATA>	
600002	1	0200	3	GW_AP23	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP23	<NODATA>	
600001	1	0200	2	GW_AP23	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP23	<NODATA>	
500001	1	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP23	<NODATA>	
500002	1	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP23	<NODATA>	
500004	1	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP01	<NODATA>	
600010	9	0200	2	GW_AP01	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP01	<NODATA>	
500007	1	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP01	<NODATA>	
500006	1	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP01	<NODATA>	
600001	1	0200	2	GW_AP14	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP14	<NODATA>	
500001	1	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP14	<NODATA>	
600001	1	0200	2	GW_AP13	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP13	<NODATA>	
500001	1	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP13	<NODATA>	
600001	1	0200	2	GW_AP15	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP15	<NODATA>	
500001	1	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP15	<NODATA>	
600001	1	0200	2	GW_AP16	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP16	<NODATA>	
500001	1	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP16	<NODATA>	
500001	1	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP01	<NODATA>	
600001	1	0200	2	GW_AP05	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP05	<NODATA>	
500001	1	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP05	<NODATA>	
600001	1	0200	2	GW_AP06	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP06	<NODATA>	
500001	1	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP06	<NODATA>	
600001	1	0200	2	GW_AP04	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP04	<NODATA>	
500001	1	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP04	<NODATA>	
600001	1	0200	2	GW_AP02	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP02	<NODATA>	
500001	1	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP02	<NODATA>	
600001	1	0200	2	GW_AP89	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP08	<NODATA>	
500001	1	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP08	<NODATA>	
600001	1	0200	2	GW_AP89	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP09	<NODATA>	
500001	1	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP09	<NODATA>	
600008	9	0200	2	GW_AP01	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP03	<NODATA>	
600009	9	0200	2	GW_AP01	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP03	<NODATA>	
600001	1	0200	2	GW_AP03	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP03	<NODATA>	
500008	9	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP03	<NODATA>	
500009	9	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP03	<NODATA>	
500001	1	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP03	<NODATA>	
600001	1	0200	2	GW_AP10	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP10	<NODATA>	
500001	1	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP10	<NODATA>	
600001	1	0200	2	GW_AP07	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP07	<NODATA>	
500001	1	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP07	<NODATA>	
200005	1	0200	2	GW_AP01	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP01	<NODATA>	
600008	9	0200	2	GW_AP01	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP01	<NODATA>	
600009	9	0200	2	GW_AP01	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP01	<NODATA>	
600002	1	0200	2	GW_AP01	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP01	<NODATA>	
600003	1	0200	2	GW_AP01	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP01	<NODATA>	
600004	1	0200	2	GW_AP01	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP01	<NODATA>	
600007	1	0200	2	GW_AP01	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP01	<NODATA>	
600006	1	0200	2	GW_AP01	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP01	<NODATA>	
600001	1	0200	2	GW_AP01	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP01	<NODATA>	
100005	1	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP01	<NODATA>	
500008	9	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP01	<NODATA>	
500009	9	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP01	<NODATA>	
500002	1	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP01	<NODATA>	
500003	1	0200	0	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	<NODATA>	AP01	<NODATA>	
