APPL_CODE	KIND_CODE	TX_CODE	INOUT_FLAG	MAP_FLAG	
C	C	C	C	C	
AP01	0200	100005	I	P	
AP01	0200	200005	O	P	
AP01	0200	500002	I	B	
AP01	0200	500003	I	B	
AP01	0200	500008	I	B	
AP01	0200	500009	U	B	
AP01	0200	600001	O	B	
AP01	0200	600002	O	B	
AP01	0200	600003	O	B	
AP01	0200	600004	O	B	
AP01	0200	600006	O	U	
AP01	0200	600007	O	N	
AP01	0200	600008	O	B	
AP01	0200	600009	O	H	
AP02	0200	500001	I	B	
AP02	0200	600001	O	B	
AP03	0200	500001	I	B	
AP03	0200	500008	I	B	
AP03	0200	500009	I	B	
AP03	0200	600001	O	B	
AP03	0200	600008	O	B	
AP03	0200	600009	O	B	
AP04	0200	500001	I	B	
AP04	0200	600001	O	B	
AP05	0200	500001	I	B	
AP05	0200	600001	O	B	
AP06	0200	500001	I	B	
AP06	0200	600001	O	B	
AP07	0200	500001	I	B	
AP07	0200	600001	O	B	
AP08	0200	500001	I	B	
AP08	0200	600001	O	B	
AP09	0200	500001	I	B	
AP09	0200	600001	O	B	
AP10	0200	500001	I	B	
AP10	0200	600001	O	B	
AP11	0200	500001	I	B	
AP11	0200	600001	O	B	
AP12	0200	500001	I	B	
AP12	0200	600001	O	B	
AP01	0200	500001	I	B	
AP01	0200	500004	I	B	
TA01	0200	100001	I	B	
TA01	0200	100002	I	B	
TA01	0200	100003	I	B	
TA01	0200	100004	I	B	
TA01	0200	100005	I	B	
TA01	0200	200001	I	B	
TA02	0200	100001	I	B	
TA03	0200	100001	I	B	
TA04	0200	100001	I	B	
TA05	0200	100001	I	B	
TA07	0200	100001	I	B	
TB01	0200	100001	O	B	
TB01	0200	100002	O	B	
TB01	0200	100003	O	B	
TB01	0200	100004	O	B	
TB01	0200	100005	O	B	
TB02	0200	100001	O	B	
TB03	0200	100001	O	B	
TB04	0200	100001	O	B	
TB05	0200	100001	O	B	
TB07	0200	100001	O	B	
TB11	0200	100001	O	B	
TB11	0200	100002	O	B	
TB11	0200	100003	O	B	
TB11	0200	100004	O	B	
TB11	0200	100005	O	B	
AP01	0200	600010	O	H	
AP01	0200	500006	I	U	
AP01	0200	500007	I	N	
AP13	0200	500001	I	H	
AP13	0200	600001	O	H	
AP14	0200	500001	I	H	
AP14	0200	600001	O	H	
AP15	0200	500001	I	B	
AP15	0200	600001	O	B	
AP16	0200	500001	I	B	
AP16	0200	600001	O	B	
